laptop_ID,Company,Product,TypeName,Inches,Ram_GB,OpSys,Weight_kg,Price_euros,Touchscreen,ScreenWidth,ScreenHeight,Cpu_producer,Cpu_series,Cpu_model,Cpu_GHz,Gpu_producer,Gpu_model,Gpu_series,Memory1_GB,Memory1_type,Memory2_GB,Memory2_type
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,2.0,344.0,0,1920,1080,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,0,-
151,MSI,GE72MVR 7RG,Gaming,17.3,16,Windows 10,2.9,2029.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,1024,HDD
152,Acer,Aspire A315-51,Notebook,15.6,4,Windows 10,2.1,447.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
153,Dell,Inspiron 5577,Gaming,15.6,16,Windows 10,2.56,1249.26,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,512,SSD,0,-
154,Dell,Inspiron 7567,Gaming,15.6,8,Windows 10,2.62,899.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,1024,Hybrid,0,-
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,4,Windows 10,1.9,498.0,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,128,SSD,0,-
156,MSI,GE73VR 7RE,Gaming,17.3,16,Windows 10,2.8,1890.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,256,SSD,1024,HDD
157,HP,EliteBook 840,Ultrabook,14.0,4,Windows 10,1.48,1082.0,0,1920,1080,Intel,7500U,Core i5,2.7,Intel,HD Graphics,620,256,SSD,0,-
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,6,Windows 10,1.91,619.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,520,256,SSD,0,-
159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,1,1920,1080,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,256,SSD,0,-
160,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.1,1315.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,HD Graphics,620,256,SSD,0,-
161,Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,Windows 10,1.56,1049.0,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,0,-
163,Toshiba,Satellite Pro,Notebook,15.6,4,Windows 10,2.1,447.0,0,1366,768,Intel,6006U,Core i3,2.2,Intel,HD Graphics,520,500,HDD,0,-
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,Windows 10,2.03,403.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,M420,1024,HDD,0,-
165,Acer,Aspire A517-51G,Notebook,17.3,4,Windows 10,3.0,805.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,MX150,256,SSD,0,-
166,Dell,Inspiron 3576,Notebook,15.6,8,Windows 10,2.13,728.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,520,256,SSD,0,-
167,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Windows 10,2.5,1079.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,0,-
168,Acer,Aspire A315-31,Notebook,15.6,4,Windows 10,2.1,348.0,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,0,-
169,MSI,GE63VR 7RE,Gaming,15.6,16,Windows 10,2.4,1799.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,256,SSD,1024,HDD
170,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,363.51,0,1366,768,Intel,N4200,Pentium Quad Core,1.1,Intel,HD Graphics,505,1024,HDD,0,-
171,Dell,Inspiron 5577,Gaming,15.6,8,Windows 10,2.56,1060.49,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,128,SSD,1024,HDD
172,Acer,Aspire A517-51G,Notebook,17.3,8,Windows 10,3.0,854.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,MX150,256,SSD,0,-
173,HP,ProBook 430,Notebook,13.3,4,Windows 10,1.49,714.5,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,500,HDD,0,-
174,Huawei,MateBook X,Ultrabook,13.0,8,Windows 10,1.05,1349.0,0,2160,1440,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,6,Windows 10,2.71,699.0,0,1920,1080,Intel,7200U,Core i5,2.5,AMD,Radeon,520,2048,HDD,0,-
176,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,No OS,2.2,309.0,0,1366,768,AMD,9220,A6-Series,2.9,AMD,Radeon R4 Graphics,-,500,HDD,0,-
177,Toshiba,Satellite Pro,Notebook,15.6,4,Windows 10,2.0,579.0,0,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,500,HDD,0,-
178,HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,923.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,930MX,256,SSD,0,-
179,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.3,459.0,0,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,1024,HDD,0,-
180,Acer,Aspire A315-51,Notebook,15.6,4,Windows 10,2.1,449.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,0,-
181,MSI,GT80S 6QF-074US,Gaming,18.4,32,Windows 10,4.4,2799.0,0,1920,1080,Intel,6920HQ,Core i7,2.9,Nvidia,GeForce GTX 980,SLI,512,SSD,1024,HDD
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,8,Windows 10,1.9,813.0,0,1920,1080,Intel,7200U,Core i5,2.5,AMD,-,R17M-M1-70,128,SSD,1024,HDD
183,HP,Spectre x360,2 in 1 Convertible,13.3,8,Windows 10,1.29,1499.0,1,3840,2160,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
184,Dell,Inspiron 5570,Notebook,15.6,16,Linux,2.02,1049.0,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,256,SSD,2048,HDD
185,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,1399.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
186,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,Windows 10,1.4,1974.0,1,3840,2160,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,0,-
187,Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2.0,793.0,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,128,SSD,0,-
188,Xiaomi,Mi Notebook,Notebook,15.6,8,No OS,1.95,1199.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,MX150,256,SSD,0,-
189,Dell,Inspiron 7773,Notebook,17.3,16,Windows 10,2.77,1549.0,1,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,150MX,512,SSD,0,-
190,Dell,XPS 15,Notebook,15.6,16,Windows 10,2.06,2212.21,1,3840,2160,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,512,SSD,0,-
191,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,No OS,2.4,779.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,256,SSD,0,-
192,Acer,Swift 7,Ultrabook,13.3,8,Windows 10,1.12,989.0,0,1920,1080,Intel,7Y54,Core i5,1.2,Intel,HD Graphics,615,256,SSD,0,-
193,Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,1113.5,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,128,SSD,1024,HDD
194,Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,16,Windows 10,1.42,2824.0,1,2560,1440,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,1024,SSD,0,-
195,Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14.0,4,Windows 10,1.3,260.0,0,1920,1080,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,Flash Storage,0,-
196,Xiaomi,Mi Notebook,Ultrabook,13.3,8,No OS,1.3,999.9,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,MX150,256,SSD,0,-
197,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,8,No OS,2.8,698.0,0,1600,900,Intel,8250U,Core i5,1.6,Nvidia,GeForce,MX150,256,SSD,0,-
198,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,1024,HDD,0,-
200,Razer,Blade Pro,Gaming,17.3,32,Windows 10,3.49,6099.0,1,3840,2160,Intel,7820HK,Core i7,2.9,Nvidia,GeForce GTX,1080,1024,SSD,0,-
201,HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,959.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,512,SSD,0,-
202,HP,Omen 17-W295,Gaming,17.3,16,Windows 10,3.35,1379.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,256,SSD,1024,HDD
203,HP,Probook 470,Notebook,17.3,8,Windows 10,2.5,1045.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,930MX,256,SSD,0,-
204,Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1845.0,0,3840,2160,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,512,SSD,1024,HDD
205,Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,4,Windows 10,2.1,493.0,0,1366,768,Intel,6200U,Core i5,2.3,Intel,HD Graphics,520,128,SSD,0,-
206,Acer,Aspire E5-576G,Notebook,15.6,8,Windows 10,2.23,742.0,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,1024,HDD,0,-
207,Lenovo,Legion Y720-15IKB,Gaming,15.6,16,Windows 10,3.2,1749.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,512,SSD,1024,HDD
208,Dell,Precision 7520,Workstation,15.6,16,Windows 10,2.8,3055.0,0,3840,2160,Intel,E3-1505M V6,Xeon,3.0,Nvidia,Quadro,M1200,256,SSD,1024,HDD
209,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,No OS,2.4,1398.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,512,SSD,0,-
210,Dell,Inspiron 3567,Notebook,15.6,6,Windows 10,2.3,439.0,1,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,1024,HDD,0,-
211,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1949.0,1,3840,2160,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,0,-
212,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,1514.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,0,-
213,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,Windows 10,2.2,597.0,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
215,Acer,Aspire 7,Notebook,15.6,8,Linux,2.4,812.5,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,1024,HDD,0,-
216,Asus,ROG GL703VD-GC028T,Gaming,17.3,16,Windows 10,2.9,1407.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,256,SSD,1024,HDD
217,HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,4,No OS,2.1,349.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,500,HDD,0,-
218,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,549.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
219,Huawei,MateBook X,Ultrabook,13.0,8,Windows 10,1.05,1499.0,0,2160,1440,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,512,SSD,0,-
221,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,8,No OS,2.8,589.0,0,1600,900,Intel,7200U,Core i5,2.5,Nvidia,GeForce GTX,940MX,1024,HDD,0,-
222,HP,Probook 440,Notebook,14.0,8,Windows 10,1.63,1031.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,930MX,256,SSD,0,-
223,Dell,Latitude 5490,Ultrabook,14.0,8,Windows 10,1.6,1149.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
224,Dell,Inspiron 5379,2 in 1 Convertible,13.3,16,Windows 10,1.62,1279.0,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,0,-
225,Dell,Inspiron 3576,Notebook,15.6,8,Linux,2.2,677.35,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,520,256,SSD,0,-
226,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,8,Windows 10,1.74,899.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
227,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,8,Windows 10,1.2,1363.0,0,1920,1080,Intel,6500U,Core i7,2.5,Intel,HD Graphics,520,256,SSD,0,-
228,HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,794.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,1024,HDD,0,-
229,Dell,Alienware 17,Gaming,17.3,16,Windows 10,4.42,2456.34,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,256,SSD,1024,HDD
230,Acer,Aspire E5-576G,Notebook,15.6,8,Windows 10,2.2,832.0,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,256,SSD,0,-
231,Dell,Inspiron 5567,Notebook,15.6,16,Windows 10,2.3,859.01,1,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R7,M445,1024,HDD,0,-
232,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,8,Windows 10,2.0,769.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,920MX,256,SSD,0,-
233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,8,Windows 10,2.69,891.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce GTX,950M,256,SSD,500,HDD
234,HP,ZBook 15u,Notebook,15.6,8,Windows 10,1.9,1269.0,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,FirePro,W4190M,1024,HDD,0,-
235,Asus,Pro P2540UA-XO0198T,Notebook,15.6,4,Windows 10,2.37,398.99,0,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,1024,HDD,0,-
236,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,4,Windows 10,2.1,330.0,0,1366,768,AMD,9000e,E-Series,1.5,AMD,Radeon R2,-,500,HDD,0,-
237,Lenovo,Legion Y720-15IKB,Gaming,15.6,16,Windows 10,3.2,1499.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,256,SSD,1024,HDD
238,Dell,Vostro 5468,Notebook,14.0,8,Windows 10,1.6,859.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
239,Acer,Aspire R7,2 in 1 Convertible,13.3,8,Windows 10,1.6,689.0,1,1920,1080,Intel,6200U,Core i5,2.3,Intel,HD Graphics,520,256,SSD,0,-
240,Dell,Inspiron 5567,Notebook,15.6,16,Linux,2.36,899.0,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R7,M445,256,SSD,0,-
241,Acer,Aspire A315-51,Notebook,15.6,4,Linux,2.1,390.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
242,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,4,Windows 10,2.2,575.0,0,1920,1080,AMD,A10-9620P,A10-Series,2.5,AMD,Radeon R5,M430,128,SSD,1024,HDD
243,Asus,ROG G703VI-E5062T,Gaming,17.3,32,Windows 10,4.7,3890.0,0,1920,1080,Intel,7820HK,Core i7,2.9,Nvidia,GeForce GTX,1080,512,SSD,1024,HDD
244,Acer,Nitro AN515-51,Gaming,15.6,8,Windows 10,2.5,846.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,256,SSD,0,-
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,Windows 10,2.2,589.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,0,-
246,Asus,VivoBook Pro,Notebook,17.3,8,Windows 10,2.1,1145.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,150MX,128,SSD,1024,HDD
247,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,8,No OS,2.69,889.0,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce GTX,950M,128,SSD,1024,HDD
248,Dell,Inspiron 5577,Gaming,15.6,8,Windows 10,2.56,879.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,256,SSD,0,-
249,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,8,Windows 10,1.38,1214.0,1,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,0,-
250,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,985.0,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,128,SSD,2048,HDD
251,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,8,Windows 10,2.04,559.0,1,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
252,Asus,Rog G701VIK-BA060T,Gaming,17.3,16,Windows 10,3.6,2999.0,0,1920,1080,Intel,7820HK,Core i7,2.9,Nvidia,GeForce GTX,1080,256,SSD,0,-
254,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,2040.0,0,2560,1600,Intel,-,Core i5,3.1,Intel,Iris Plus Graphics,650,512,SSD,0,-
255,Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,Windows 10,2.08,819.0,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,1024,HDD,0,-
256,Asus,ROG G752VSK-GC493T,Gaming,17.3,16,Windows 10,4.3,1799.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,980M,256,SSD,1024,HDD
257,Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,Windows 10,1.68,469.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,M420,1024,HDD,0,-
258,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,8,Windows 10,1.37,1849.0,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,0,-
259,Acer,Aspire 5,Notebook,17.3,4,Windows 10,3.0,702.0,0,1920,1080,Intel,7130U,Core i3,2.7,Nvidia,GeForce,MX130,256,SSD,0,-
260,Dell,Vostro 5370,Ultrabook,13.3,8,Windows 10,1.41,949.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
261,HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,8,Windows 10,1.91,445.9,0,1366,768,AMD,A6-9220,A6-Series,2.5,AMD,Radeon R4 Graphics,-,128,SSD,0,-
262,HP,Envy 17-U275cl,Notebook,17.3,16,Windows 10,2.9,1059.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,1024,HDD,0,-
263,MSI,GT73EVR 7RE,Gaming,17.3,16,Windows 10,4.14,2499.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,512,SSD,1024,HDD
264,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,8,Windows 10,2.0,1699.0,1,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050M,512,SSD,0,-
266,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,444.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,256,SSD,0,-
267,HP,ProBook 450,Notebook,15.6,4,Windows 10,2.1,722.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,HD Graphics,620,500,HDD,0,-
268,Dell,Vostro 3568,Notebook,15.6,4,Windows 10,2.18,657.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
269,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.24,565.0,0,1920,1080,Intel,7200U,Core i5,2.5,AMD,Radeon R5,M430,1024,HDD,0,-
270,Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,Windows 10,2.67,799.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
271,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.1,1499.0,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,512,SSD
272,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,No OS,2.2,467.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
273,HP,Probook 470,Notebook,17.3,8,Windows 10,2.5,1018.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,930MX,1024,HDD,0,-
274,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,8,Windows 10,2.05,880.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,0,-
275,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1958.9,0,2560,1600,Intel,-,Core i5,2.9,Intel,Iris Graphics,550,512,SSD,0,-
276,Asus,Rog Strix,Gaming,17.3,16,Windows 10,3.2,1549.0,0,1920,1080,AMD,1700,Ryzen,3.0,AMD,Radeon RX,580,256,SSD,1024,HDD
277,Dell,Inspiron 3576,Notebook,15.6,8,Linux,2.14,735.07,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,520,256,SSD,0,-
278,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,16,Windows 10,1.36,2499.0,1,2560,1440,Intel,6600U,Core i7,2.6,Intel,HD Graphics,520,512,SSD,0,-
279,Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2.2,812.0,0,1366,768,Intel,6500U,Core i7,2.5,Nvidia,GeForce,930M,500,HDD,0,-
280,Dell,Inspiron 5567,Notebook,15.6,12,Windows 10,2.3,713.07,0,1366,768,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,1024,HDD,0,-
281,Dell,Inspiron 5770,Notebook,17.3,8,Linux,2.8,1099.0,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,128,SSD,1024,HDD
282,Acer,Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,745.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX130,1024,HDD,0,-
283,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,4,Windows 10,2.8,489.0,0,1600,900,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
284,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,8,No OS,2.8,849.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,2048,HDD,0,-
285,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,Windows 10,2.8,904.0,0,1600,900,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,128,SSD,1024,HDD
286,Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.25,428.0,0,1920,1080,Intel,6006U,Core i3,2.0,AMD,Radeon R5,M430,1024,HDD,0,-
287,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,829.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,256,SSD,0,-
288,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,6,Windows 10,2.2,579.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
289,Acer,Aspire A517-51G,Notebook,15.6,8,Windows 10,3.0,951.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,256,SSD,0,-
290,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,12,Windows 10,2.15,659.0,1,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,1024,HDD,0,-
291,Lenovo,Thinkpad T570,Notebook,15.6,8,Windows 10,1.95,1097.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,630,256,SSD,0,-
292,Asus,VivoBook S15,Ultrabook,15.6,8,Windows 10,1.7,977.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,256,SSD,0,-
293,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Windows 10,2.5,1179.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,1024,HDD
294,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,No OS,2.2,659.01,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,1024,HDD,0,-
295,Acer,Chromebook C910-C2ST,Notebook,15.6,2,Chrome OS,2.19,199.0,0,1366,768,Intel,3205U,Celeron Dual Core,1.5,Intel,HD Graphics,-,16,SSD,0,-
296,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,8,Windows 10,3.0,1187.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,1024,HDD,0,-
297,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,8,Windows 10,2.54,489.0,0,1600,900,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
298,Dell,XPS 15,Notebook,15.6,8,Windows 10,2.0,1824.5,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,256,SSD,0,-
299,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,8,Windows 10,2.05,739.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,0,-
